IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.218.22.210,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,24109 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,22438 kB/s
8.210.107.246,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,20237 kB/s
8.210.174.156,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,15263 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,14643 kB/s
47.243.5.154,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,13471 kB/s
47.242.36.78,2087,true,HKG,Asia Pacific,Hong Kong,68 ms,12213 kB/s
47.242.36.78,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,12019 kB/s
8.210.174.156,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,11743 kB/s
47.243.234.9,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,11625 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,55 ms,11602 kB/s
8.210.203.7,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,11276 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,68 ms,10807 kB/s
8.217.232.246,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,9939 kB/s
8.217.221.165,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,9634 kB/s
47.76.32.108,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,9258 kB/s
8.210.203.7,2083,true,HKG,Asia Pacific,Hong Kong,68 ms,9077 kB/s
47.76.178.146,443,true,HKG,Asia Pacific,Hong Kong,64 ms,9048 kB/s
47.243.67.28,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,8851 kB/s
47.243.67.28,2087,true,HKG,Asia Pacific,Hong Kong,66 ms,8824 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,8553 kB/s
8.219.86.200,8443,true,SIN,Asia Pacific,Singapore,230 ms,8349 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,232 ms,8335 kB/s
47.243.139.85,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,8330 kB/s
8.222.214.231,2096,true,SIN,Asia Pacific,Singapore,242 ms,8201 kB/s
47.236.9.152,8443,true,SIN,Asia Pacific,Singapore,236 ms,8089 kB/s
8.210.203.7,2096,true,HKG,Asia Pacific,Hong Kong,69 ms,8052 kB/s
47.237.95.13,8443,true,SIN,Asia Pacific,Singapore,228 ms,8021 kB/s
47.237.100.206,2087,true,SIN,Asia Pacific,Singapore,221 ms,8000 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,231 ms,7966 kB/s
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,74 ms,7956 kB/s
47.237.82.15,8443,true,SIN,Asia Pacific,Singapore,234 ms,7569 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,224 ms,7549 kB/s
8.217.159.210,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,7545 kB/s
47.237.95.146,2087,true,SIN,Asia Pacific,Singapore,227 ms,7486 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,219 ms,7462 kB/s
47.237.11.182,8443,true,SIN,Asia Pacific,Singapore,228 ms,7339 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,235 ms,7337 kB/s
47.237.10.1,2087,true,SIN,Asia Pacific,Singapore,218 ms,7321 kB/s
47.236.9.152,2087,true,SIN,Asia Pacific,Singapore,228 ms,7310 kB/s
8.217.232.246,8443,true,HKG,Asia Pacific,Hong Kong,67 ms,7286 kB/s
47.237.95.140,2053,true,SIN,Asia Pacific,Singapore,227 ms,7286 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,229 ms,7275 kB/s
47.237.83.20,2087,true,SIN,Asia Pacific,Singapore,240 ms,7272 kB/s
8.222.134.170,2096,true,SIN,Asia Pacific,Singapore,216 ms,7212 kB/s
47.243.5.154,2083,true,HKG,Asia Pacific,Hong Kong,70 ms,7138 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,225 ms,7116 kB/s
47.243.234.9,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,7102 kB/s
8.222.134.170,2087,true,SIN,Asia Pacific,Singapore,220 ms,7062 kB/s
8.222.249.190,2053,true,SIN,Asia Pacific,Singapore,237 ms,7056 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,224 ms,6974 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,219 ms,6970 kB/s
47.245.86.230,2087,true,SIN,Asia Pacific,Singapore,249 ms,6934 kB/s
47.237.86.185,8443,true,SIN,Asia Pacific,Singapore,226 ms,6894 kB/s
47.243.139.85,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,6810 kB/s
8.222.180.86,2087,true,SIN,Asia Pacific,Singapore,238 ms,6767 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,6637 kB/s
8.219.161.129,2083,true,SIN,Asia Pacific,Singapore,225 ms,6633 kB/s
8.219.100.168,2053,true,SIN,Asia Pacific,Singapore,225 ms,6570 kB/s
8.210.174.156,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,6544 kB/s
47.243.67.28,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,6513 kB/s
47.245.86.230,8443,true,SIN,Asia Pacific,Singapore,229 ms,6475 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,217 ms,6430 kB/s
8.219.113.232,2053,true,SIN,Asia Pacific,Singapore,225 ms,6428 kB/s
47.237.86.185,2087,true,SIN,Asia Pacific,Singapore,238 ms,6399 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,227 ms,6354 kB/s
47.237.100.206,8443,true,SIN,Asia Pacific,Singapore,224 ms,6331 kB/s
8.222.193.65,2053,true,SIN,Asia Pacific,Singapore,239 ms,6306 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,221 ms,6297 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,231 ms,6279 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,235 ms,6249 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,220 ms,6232 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,225 ms,6172 kB/s
47.237.81.112,8443,true,SIN,Asia Pacific,Singapore,216 ms,6048 kB/s
8.222.193.65,2087,true,SIN,Asia Pacific,Singapore,245 ms,5958 kB/s
47.237.84.173,2096,true,SIN,Asia Pacific,Singapore,223 ms,5954 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,217 ms,5938 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,226 ms,5923 kB/s
47.237.14.220,8443,true,SIN,Asia Pacific,Singapore,234 ms,5874 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,221 ms,5865 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,216 ms,5854 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,231 ms,5822 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,228 ms,5789 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,247 ms,5786 kB/s
8.219.161.129,8443,true,SIN,Asia Pacific,Singapore,221 ms,5753 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,239 ms,5724 kB/s
8.219.161.129,2087,true,SIN,Asia Pacific,Singapore,231 ms,5720 kB/s
47.237.92.26,2087,true,SIN,Asia Pacific,Singapore,226 ms,5669 kB/s
8.217.232.246,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,5663 kB/s
8.222.214.231,2083,true,SIN,Asia Pacific,Singapore,221 ms,5602 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,5500 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,221 ms,5497 kB/s
47.236.146.249,2096,true,SIN,Asia Pacific,Singapore,232 ms,5450 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,232 ms,5432 kB/s
47.236.9.152,2083,true,SIN,Asia Pacific,Singapore,224 ms,5429 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,225 ms,5416 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,222 ms,5414 kB/s
47.243.5.154,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,5395 kB/s
8.219.42.72,2096,true,SIN,Asia Pacific,Singapore,234 ms,5376 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,240 ms,5337 kB/s
8.210.174.156,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,5323 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,227 ms,5284 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,248 ms,5260 kB/s
8.222.193.65,443,true,SIN,Asia Pacific,Singapore,233 ms,5218 kB/s
47.237.10.1,8443,true,SIN,Asia Pacific,Singapore,221 ms,5190 kB/s
47.236.174.206,8443,true,SIN,Asia Pacific,Singapore,237 ms,5148 kB/s
47.76.159.146,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,5125 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,236 ms,5125 kB/s
8.222.193.65,2096,true,SIN,Asia Pacific,Singapore,229 ms,5058 kB/s
47.76.32.108,2096,true,HKG,Asia Pacific,Hong Kong,56 ms,5050 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,234 ms,4986 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,234 ms,4982 kB/s
47.76.146.1,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,4975 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,244 ms,4896 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,222 ms,4850 kB/s
47.236.146.249,2053,true,SIN,Asia Pacific,Singapore,237 ms,4835 kB/s
47.236.146.249,443,true,SIN,Asia Pacific,Singapore,219 ms,4805 kB/s
47.243.67.28,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,4796 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,235 ms,4793 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,239 ms,4789 kB/s
8.222.214.231,8443,true,SIN,Asia Pacific,Singapore,220 ms,4754 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,233 ms,4742 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,234 ms,4712 kB/s
47.242.36.78,2083,true,HKG,Asia Pacific,Hong Kong,57 ms,4712 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,239 ms,4668 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,232 ms,4665 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,226 ms,4620 kB/s
47.236.17.193,8443,true,SIN,Asia Pacific,Singapore,223 ms,4591 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,231 ms,4590 kB/s
47.236.10.100,8443,true,SIN,Asia Pacific,Singapore,244 ms,4488 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,224 ms,4482 kB/s
47.243.139.85,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,4423 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,228 ms,4420 kB/s
47.237.100.206,2096,true,SIN,Asia Pacific,Singapore,240 ms,4395 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,250 ms,4379 kB/s
47.245.86.230,2053,true,SIN,Asia Pacific,Singapore,235 ms,4355 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,245 ms,4335 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,218 ms,4328 kB/s
8.219.99.169,2083,true,SIN,Asia Pacific,Singapore,224 ms,4321 kB/s
47.242.171.94,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,4299 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,225 ms,4280 kB/s
8.222.214.231,2053,true,SIN,Asia Pacific,Singapore,222 ms,4280 kB/s
8.219.174.213,2053,true,SIN,Asia Pacific,Singapore,245 ms,4206 kB/s
47.236.10.182,8443,true,SIN,Asia Pacific,Singapore,241 ms,4201 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,227 ms,4153 kB/s
47.238.164.202,443,true,HKG,Asia Pacific,Hong Kong,57 ms,4153 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,222 ms,4077 kB/s
47.236.158.158,8443,true,SIN,Asia Pacific,Singapore,240 ms,4067 kB/s
47.236.118.216,2087,true,SIN,Asia Pacific,Singapore,247 ms,4028 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,238 ms,4007 kB/s
8.217.159.210,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,3990 kB/s
47.76.146.1,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,3948 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,233 ms,3891 kB/s
47.237.92.26,2053,true,SIN,Asia Pacific,Singapore,233 ms,3804 kB/s
47.242.171.94,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,3801 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,247 ms,3795 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,218 ms,3775 kB/s
47.236.174.206,2096,true,SIN,Asia Pacific,Singapore,227 ms,3758 kB/s
8.219.174.213,2087,true,SIN,Asia Pacific,Singapore,228 ms,3720 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,236 ms,3666 kB/s
8.222.193.65,2083,true,SIN,Asia Pacific,Singapore,242 ms,3659 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,335 ms,3651 kB/s
47.236.102.102,8443,true,SIN,Asia Pacific,Singapore,234 ms,3598 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,311 ms,3591 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,307 ms,3535 kB/s
8.219.174.213,8443,true,SIN,Asia Pacific,Singapore,246 ms,3508 kB/s
47.242.36.78,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,3493 kB/s
47.236.125.62,2053,true,NRT,Asia Pacific,Tokyo,309 ms,3488 kB/s
47.243.234.9,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,3483 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,237 ms,3474 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,227 ms,3467 kB/s
47.236.93.176,2083,true,SIN,Asia Pacific,Singapore,227 ms,3441 kB/s
47.236.85.11,8443,true,SIN,Asia Pacific,Singapore,220 ms,3435 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,232 ms,3418 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,234 ms,3397 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,222 ms,3364 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,223 ms,3331 kB/s
47.238.235.163,443,true,HKG,Asia Pacific,Hong Kong,63 ms,3295 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,302 ms,3284 kB/s
47.76.32.108,2053,true,HKG,Asia Pacific,Hong Kong,65 ms,3208 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,230 ms,3150 kB/s
47.236.118.216,8443,true,SIN,Asia Pacific,Singapore,231 ms,3149 kB/s
47.237.92.26,8443,true,SIN,Asia Pacific,Singapore,228 ms,3134 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,244 ms,3132 kB/s
47.242.36.78,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,3119 kB/s
8.217.232.246,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,3071 kB/s
47.236.93.176,2053,true,SIN,Asia Pacific,Singapore,222 ms,2652 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,229 ms,2584 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,226 ms,2404 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,230 ms,2380 kB/s
47.236.170.225,8443,true,SIN,Asia Pacific,Singapore,220 ms,2367 kB/s
8.217.232.246,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,2284 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,229 ms,2230 kB/s
47.243.139.85,2096,true,HKG,Asia Pacific,Hong Kong,56 ms,2226 kB/s
8.219.174.213,2083,true,SIN,Asia Pacific,Singapore,245 ms,2130 kB/s
47.236.93.176,2096,true,SIN,Asia Pacific,Singapore,217 ms,2062 kB/s
47.242.171.94,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,1915 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,242 ms,1792 kB/s
47.236.158.158,2053,true,SIN,Asia Pacific,Singapore,244 ms,1632 kB/s
47.242.171.94,2087,true,HKG,Asia Pacific,Hong Kong,69 ms,1257 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,72 ms,1103 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,242 ms,902 kB/s
47.243.139.85,8443,true,HKG,Asia Pacific,Hong Kong,57 ms,885 kB/s
47.76.32.108,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,815 kB/s
8.218.63.172,443,true,HKG,Asia Pacific,Hong Kong,55 ms,732 kB/s
47.237.83.20,8443,true,SIN,Asia Pacific,Singapore,243 ms,662 kB/s
47.76.32.108,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,643 kB/s
8.222.225.193,443,true,SIN,Asia Pacific,Singapore,220 ms,627 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,608 kB/s
47.89.191.155,443,true,IAD,North America,Ashburn,257 ms,518 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,238 ms,492 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,70 ms,406 kB/s
149.129.8.215,443,true,SJC,North America,San Jose,100 ms,374 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,211 kB/s
47.243.234.9,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,182 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,157 kB/s
47.242.202.230,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,153 kB/s
47.242.202.230,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,150 kB/s
47.242.202.230,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,108 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,219 ms,86 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,65 ms,51 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,53 ms,8 kB/s
47.76.178.146,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,0 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,235 ms,0 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.76.146.1,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,0 kB/s
47.237.81.112,2083,true,SIN,Asia Pacific,Singapore,229 ms,0 kB/s
47.237.81.112,2053,true,SIN,Asia Pacific,Singapore,231 ms,0 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,243 ms,0 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
47.243.234.9,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,254 ms,0 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,234 ms,0 kB/s
8.217.90.154,443,true,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
47.236.169.15,2087,true,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,239 ms,0 kB/s
8.210.203.7,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,0 kB/s
47.242.202.230,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
47.237.95.140,2087,true,SIN,Asia Pacific,Singapore,229 ms,0 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,235 ms,0 kB/s
8.217.132.184,443,true,HKG,Asia Pacific,Hong Kong,55 ms,0 kB/s
47.237.95.140,8443,true,SIN,Asia Pacific,Singapore,234 ms,0 kB/s
